Type,Mass,Parts
N-Terminal,203.0794,['GlcNAc']
C-Terminal,1557.6543,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,480.1955,"['GlcNAc', 'MurNAc_alditol']"
C-Terminal,1280.5382,"['A', 'E', 'mDAP', 'G', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,551.2326,"['GlcNAc', 'MurNAc_alditol', 'A']"
C-Terminal,1209.5011,"['E', 'mDAP', 'G', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,680.2752,"['GlcNAc', 'MurNAc_alditol', 'A', 'E']"
C-Terminal,1080.4585,"['mDAP', 'G', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,1686.7095,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
C-Terminal,74.0242,['G']
C-Terminal,925.3764,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'G']"
N-Terminal,835.3573,"['mDAP', 'E', 'A', 'GlcNAc', 'MurNAc_alditol']"
C-Terminal,1557.6543,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
C-Terminal,1280.5382,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'A', 'E', 'mDAP']"
N-Terminal,480.1955,"['MurNAc_alditol', 'GlcNAc']"
C-Terminal,1209.5011,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'E', 'mDAP']"
N-Terminal,551.2326,"['MurNAc_alditol', 'A', 'GlcNAc']"
C-Terminal,1080.4585,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'G', 'mDAP']"
N-Terminal,680.2752,"['E', 'MurNAc_alditol', 'A', 'GlcNAc']"
Internal,277.1161,['MurNAc_alditol']
Internal,348.1532,"['A', 'MurNAc_alditol']"
