Type,Mass,Parts
N-Terminal,203.0794,['GlcNAc']
C-Terminal,1588.6726,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,480.1955,"['GlcNAc', 'MurNAc_alditol']"
C-Terminal,1311.5565,"['A', 'E', 'mDAP', 'A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,551.2326,"['GlcNAc', 'MurNAc_alditol', 'A']"
C-Terminal,1240.5194,"['E', 'mDAP', 'A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,680.2752,"['A', 'MurNAc_alditol', 'GlcNAc', 'E']"
C-Terminal,1111.4768,"['mDAP', 'A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,851.3522,"['GlcNAc', 'mDAP', 'A', 'MurNAc_alditol', 'E']"
C-Terminal,940.3998,"['A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
C-Terminal,939.3920,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
N-Terminal,852.3600,"['GlcNAc', 'A', 'MurNAc_alditol', 'E', 'mDAP']"
C-Terminal,1588.6726,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
C-Terminal,1311.5565,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'A', 'E', 'mDAP']"
N-Terminal,480.1955,"['GlcNAc', 'MurNAc_alditol']"
C-Terminal,1240.5194,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
N-Terminal,551.2326,"['GlcNAc', 'A', 'MurNAc_alditol']"
C-Terminal,1111.4768,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'mDAP']"
N-Terminal,680.2752,"['GlcNAc', 'A', 'E', 'MurNAc_alditol']"
Internal,277.1161,['MurNAc_alditol']
Internal,348.1532,"['A', 'MurNAc_alditol']"
Internal,477.1958,"['A', 'MurNAc_alditol', 'E']"
Internal,648.2728,"['mDAP', 'A', 'MurNAc_alditol', 'E']"
Internal,736.3126,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
Internal,852.3600,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
