Type,Mass,Parts
Internal,543.2415,"['mDAP', 'A', 'E', 'mDAP']"
Internal,472.2044,"['mDAP', 'E', 'mDAP']"
Internal,343.1618,"['mDAP', 'mDAP']"
Internal,649.2806,"['MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,372.1645,"['A', 'E', 'mDAP']"
Internal,348.1532,"['MurNAc_alditol', 'A']"
Internal,301.1274,"['E', 'mDAP']"
N-Terminal,551.2326,"['GlcNAc', 'MurNAc_alditol', 'A']"
Internal,649.2806,"['A', 'E', 'mDAP', 'MurNAc_alditol']"
Internal,472.2044,"['E', 'mDAP', 'mDAP']"
